iter	Passed	Remaining
0	139	139769
1	140	70111
2	141	46872
3	141	35249
4	142	28277
5	142	23627
6	143	20306
7	143	17815
8	144	15942
9	145	14392
10	146	13127
11	146	12065
12	147	11174
13	147	10410
14	148	9749
15	149	9169
16	149	8652
17	150	8191
18	150	7778
19	151	7406
20	151	7074
21	152	6770
22	152	6492
23	153	6236
24	153	6000
25	154	5783
26	154	5581
27	155	5394
28	155	5220
29	156	5058
30	156	4907
31	157	4767
32	158	4632
33	158	4508
34	159	4393
35	159	4283
36	160	4178
37	161	4080
38	161	3987
39	162	3897
40	163	3816
41	164	3742
42	164	3669
43	165	3595
44	166	3524
45	166	3456
46	167	3393
47	167	3330
48	168	3268
49	168	3209
50	169	3154
51	170	3099
52	170	3047
53	171	2998
54	171	2949
55	172	2902
56	172	2856
57	173	2815
58	174	2776
59	174	2736
60	175	2697
61	175	2661
62	176	2625
63	177	2592
64	177	2559
65	178	2528
66	179	2497
67	180	2467
68	180	2436
69	181	2405
70	181	2376
71	182	2348
72	182	2321
73	183	2294
74	183	2267
75	184	2244
76	185	2219
77	185	2194
78	186	2171
79	186	2148
80	187	2127
81	188	2106
82	188	2082
83	189	2063
84	189	2044
85	190	2024
86	191	2007
87	192	1990
88	192	1972
89	193	1953
90	193	1936
91	194	1919
92	195	1902
93	195	1885
94	196	1868
95	196	1851
96	197	1835
97	197	1819
98	198	1805
99	198	1790
100	199	1775
101	199	1760
102	200	1746
103	201	1732
104	201	1718
105	202	1706
106	203	1694
107	203	1681
108	204	1669
109	204	1657
110	205	1646
111	206	1634
112	206	1621
113	207	1609
114	207	1597
115	208	1586
116	208	1573
117	209	1562
118	209	1551
119	210	1540
120	210	1529
121	210	1518
122	211	1508
123	212	1498
124	212	1489
125	213	1479
126	213	1468
127	214	1459
128	214	1450
129	215	1441
130	216	1433
131	216	1424
132	217	1415
133	217	1407
134	218	1399
135	219	1392
136	219	1384
137	220	1377
138	221	1369
139	221	1362
140	222	1355
141	222	1346
142	223	1338
143	223	1330
144	224	1323
145	224	1316
146	225	1309
147	226	1301
148	226	1294
149	227	1287
150	227	1280
151	228	1273
152	228	1267
153	229	1260
154	230	1254
155	230	1247
156	231	1241
157	231	1236
158	232	1230
159	233	1224
160	233	1218
161	234	1213
162	235	1207
163	235	1202
164	236	1196
165	237	1190
166	237	1185
167	238	1179
168	238	1174
169	239	1168
170	239	1162
171	240	1157
172	240	1151
173	241	1146
174	241	1140
175	242	1135
176	243	1130
177	243	1125
178	244	1120
179	244	1115
180	245	1110
181	246	1105
182	246	1101
183	247	1096
184	247	1092
185	248	1088
186	249	1083
187	250	1080
188	250	1076
189	251	1072
190	251	1067
191	252	1063
192	253	1058
193	253	1054
194	254	1049
195	254	1045
196	255	1040
197	255	1036
198	256	1032
199	256	1027
200	257	1023
201	258	1019
202	258	1015
203	259	1010
204	259	1007
205	260	1003
206	260	999
207	261	995
208	262	992
209	262	989
210	263	985
211	264	981
212	264	977
213	265	974
214	265	970
215	266	967
216	267	963
217	267	960
218	268	956
219	268	952
220	269	949
221	269	945
222	270	941
223	270	938
224	271	934
225	271	931
226	272	928
227	273	924
228	273	921
229	274	918
230	275	915
231	275	912
232	276	909
233	276	906
234	277	903
235	278	900
236	278	897
237	279	893
238	279	890
239	280	887
240	280	884
241	281	881
242	281	878
243	282	875
244	283	872
245	283	869
246	284	866
247	284	863
248	285	860
249	285	857
250	286	854
251	286	851
252	287	848
253	288	845
254	288	843
255	289	840
256	289	838
257	290	835
258	291	833
259	291	830
260	292	828
261	293	825
262	293	823
263	294	820
264	294	817
265	295	814
266	295	812
267	296	809
268	296	806
269	297	804
270	298	801
271	298	798
272	299	796
273	299	793
274	300	791
275	300	788
276	301	786
277	301	783
278	302	781
279	303	779
280	303	777
281	304	775
282	305	773
283	305	770
284	306	769
285	307	767
286	307	765
287	308	763
288	309	760
289	309	758
290	310	756
291	311	754
292	311	752
293	312	749
294	312	747
295	313	745
296	313	742
297	314	740
298	314	738
299	315	735
300	315	733
301	316	731
302	317	729
303	317	727
304	318	725
305	319	723
306	319	722
307	320	720
308	321	718
309	321	716
310	322	714
311	323	712
312	323	711
313	324	708
314	325	707
315	325	705
316	326	702
317	326	700
318	327	698
319	327	696
320	328	694
321	328	692
322	329	690
323	330	688
324	330	686
325	331	684
326	331	682
327	332	681
328	333	680
329	334	678
330	334	676
331	335	674
332	335	672
333	336	670
334	337	669
335	337	667
336	338	665
337	338	663
338	339	661
339	339	659
340	340	657
341	340	655
342	341	653
343	341	651
344	342	650
345	342	648
346	343	646
347	343	644
348	344	642
349	344	640
350	345	638
351	346	637
352	347	636
353	347	634
354	348	633
355	349	631
356	349	630
357	350	628
358	350	626
359	351	624
360	352	623
361	352	621
362	353	619
363	353	618
364	354	616
365	354	614
366	355	612
367	355	611
368	356	609
369	356	607
370	357	606
371	358	604
372	358	602
373	359	601
374	359	599
375	360	598
376	361	596
377	361	595
378	362	594
379	363	592
380	364	591
381	364	589
382	365	588
383	365	586
384	366	585
385	367	583
386	367	582
387	368	580
388	368	579
389	369	577
390	369	576
391	370	574
392	371	573
393	371	571
394	372	569
395	372	568
396	373	566
397	373	565
398	374	563
399	375	562
400	375	561
401	376	560
402	377	558
403	378	557
404	378	556
405	379	554
406	379	553
407	380	551
408	380	550
409	381	548
410	381	547
411	382	545
412	382	544
413	383	542
414	383	541
415	384	539
416	384	538
417	385	536
418	386	535
419	386	534
420	387	532
421	387	531
422	388	529
423	388	528
424	389	527
425	390	525
426	390	524
427	391	523
428	392	522
429	393	521
430	394	520
431	394	519
432	395	518
433	396	516
434	396	515
435	397	514
436	398	513
437	398	511
438	399	510
439	400	509
440	401	508
441	401	507
442	402	506
443	403	504
444	403	503
445	404	502
446	405	501
447	405	499
448	406	498
449	406	497
450	407	496
451	408	495
452	409	494
453	409	493
454	410	491
455	411	490
456	411	489
457	412	488
458	413	486
459	413	485
460	414	484
461	414	483
462	415	481
463	416	480
464	416	479
465	417	478
466	417	476
467	418	475
468	419	474
469	419	473
470	420	472
471	421	471
472	421	469
473	422	468
474	423	467
475	423	466
476	424	465
477	424	464
478	425	462
479	425	461
480	426	460
481	427	458
482	427	457
483	428	456
484	428	455
485	429	454
486	430	452
487	430	451
488	431	450
489	431	449
490	432	448
491	432	447
492	433	445
493	434	444
494	434	443
495	435	442
496	436	441
497	436	440
498	437	439
499	437	437
500	438	436
501	439	435
502	439	434
503	440	433
504	441	432
505	442	431
506	442	430
507	443	429
508	443	428
509	444	427
510	444	425
511	445	424
512	446	423
513	446	422
514	447	421
515	448	420
516	448	419
517	449	418
518	449	416
519	450	415
520	450	414
521	451	413
522	452	412
523	452	411
524	453	410
525	454	409
526	454	408
527	455	407
528	456	406
529	456	404
530	457	403
531	457	402
532	458	401
533	459	400
534	459	399
535	460	398
536	461	397
537	461	396
538	462	395
539	463	395
540	464	394
541	465	393
542	466	392
543	467	391
544	468	390
545	468	389
546	469	388
547	470	387
548	470	386
549	471	385
550	471	384
551	472	383
552	472	382
553	473	381
554	473	380
555	474	378
556	475	377
557	475	376
558	476	375
559	477	374
560	477	374
561	478	373
562	479	372
563	480	371
564	480	370
565	481	369
566	482	368
567	482	366
